A,0.14,0.21
B,0.8,0.61
C,0.16,0.12
D,0.94,0.82
E,0.23,0.23
F,0.12,0.12
G,0.295333333,0.262666667
H,0.265904762,0.237238095
I,0.23647619,0.211809524
J,0.207047619,0.186380952
K,0.177619048,0.160952381
L,0.148190476,0.13552381
M,0.118761905,0.110095238
N,0.089333333,0.084666667
O,0.059904762,0.059238095
P,0.03047619,0.033809524
Q,0.001047619,0.008380952
R,0.14,0.61
S,0.8,0.12
T,0.16,0.82
U,0.94,0.23
V,0.23,0.12
W,0.12,0.262666667
X,0.295333333,0.237238095
Y,0.265904762,0.211809524
Z,0.23647619,0.186380952
AA,0.207047619,0.160952381
AB,0.177619048,0.13552381
AC,0.148190476,0.110095238
AD,0.118761905,0.084666667
AE,0.089333333,0.059238095
AF,0.059904762,0.033809524
AG,0.03047619,0.008380952
